민원 내용	담당부서
"궁금해서요 이동네산지 30년정되 되었는데 최근에 원룸빌라건물에 이사온사람들이 자기들
차가 많은지 주차장이아닌 건물앞도로에 자기들만쓰게 꼬깔콘낳두고 전화해서 양해부탁한다고
하는데 도로가 그건물거는아닐건데요? 민원처리할수있는가해서요?"	경제환경국 자원순환과
"지난 목요일 어머니께서 치매 검사를 몇일전 했는데 결과가 좋지 않다며 강*병원 신경외과의를 만나보라고 했다고 합니다. 그래서 목요일 오후에 보건소에서 만났는데
다짜고짜 이정도 치매 결과면 걸음도 못걸어야하고 기억도 하나도 안나야한다며 다짜고짜 소리를 쳤다하더군요.
힘없는 기초생활 수급자 여자 할머니라고 함부로 대할꺼면 시청에서 보건소에서 왜 검사시키고 욕먹게 만드는지 너무 속이상하네요
다짜고짜 소리를 왜 지르시냐고 하니 나가라고 쫓아보내고 봉사자랑 이야기했다고합니다. 아니 누가 치매이고 싶었나요? 치매 위조하려고 했나요?
치매판정 받길 원한적도 없는 나이 많은 어르신한테 다짜고짜 소리를 지릅니까? 협력을 왜합니까 협력업체 바꿔야하는거 아닙니까?
나이가 많으니 치매걸리고 싶지 않아도 걱정이 많고 몸이 여러군데 성하지 않은 사람에게 그렇게 무례하게 해도 됩니까?
누가 치매 판정 받고싶다고 했냐고 따지고 싶네요 무례에 화가난 어머니가 의사랑 이야기해보겠다고 전화하니 전화준다고해놓고 전화도 주지않았다고요
저희 어머니 같은말 반복하시고 했던말 까먹습니다 다까먹지는 않죠 아니 치매든 아니든 결과가 그렇다면 제대로 진단해야지
사람을 어떻게 그렇게 취급할수 있습니까? 치매걸릴까봐 무서워하시는 분이세요 근데 나오니까 간호사도 보건소 소속이면 계약직같은데
저번에도 멀쩡히 걸어서 오더라면서 비아냥 거렸다더군요 하 치매는 급수가 없습니까? 치매아니면 다른 원인을 찾아주던지
소리지르고 무시할꺼면 왜 부릅니까? 그러려고 세금으로 그 의사하고 간호사 돈줍니까? 적어도 자격은 제대로 파악하셨어야지요
그분들 댁 가족 어르신아니세요 누가 약자에게 소리지르고 무례하게 합니까? 치매는 걷지도 못하고 과거 기억도 하나도 못해야하는 거라고 했다는데
치매 그정도 되서 병원가려고 검사합니까? 치매는 완치되기 어렵기때문에 미리 검사하고 예방하는걸로 아는데요

병원 의사면 보건소 계약직 간호사면 사람 무시해도 되는 세상인가요 구청의 잘못는 아닌거압니다 근데 사람은 제대로 뽑으셔야죠
보복이 두려워 사회적 약자가 무시받고만 있어야 한다고 말씀하시지는 않겠지요? 구청을 믿고 대답을 기다리겠습니다
구체적인 진료 시간과 환자 이름 다 이야기할수있습니다
거기서는 아니라고 자기들끼리 뭉치겠지요. 치매라니 상상도 하기 무섭고 걸리고 싶지도 않지만 다른병원가서 치매판정받으면 그때는 보건소에서 책임을 집니까?
치매노인들만 상대하니 말 함부로 하시는지 사기꾼으로 오해하시는지 모르겠는데 나이도 얼마안되신분이 그러시면 안될거같은데요
구청에서 경고를 주시든 지켜보셔야할거같네요 cctv 설치해주시던지요"	안전도시국 도시관리과
"작성자 : 안(윤)정은 ( 제안자 - 영양사)
작성 일자 : 2023. 11. 3(금)
소관 : 김재윤 금정구청장

주 제 : 식품 안전
* * * * * * * * * * * * * * * * * * * * * * * * * * *

제안서 :
한국전통식품 및 전통양념 제조와 유통에 따른 정부 규제에 관한 고찰과
그 발전방향 - 부산광역시를 중심으로 ( 1999. 10. 20, 김대중 대통령 / 안상영 부산광역시장 / 윤석천 금정구청장 )
- 노무현 대통령 - 이명박 대통령 - 박근혜 대통령 (탄핵) - 문재인 대통령 - 윤석열 대통령 (제안서 제출 후 23년차)

제안자 :
부산광역시 금정구청 기획 감사실 (실장 : 임병철 )
행정자료실장, 지방행정 주사 (6급) 안정은 (安貞垠)

* * * * * * * * * * * * * * * * * * * * * * * * *

제 목 : 금정구에서 공영 반여농산물 도매시장을 경유하는 노선 차량 마련


금정구에서 공영 반여동농산물 도매시장을 경유하는 노선의 차량을 마련해 줄 것을 제안자가 건의한지가 10여년이 넘은 듯하다.
당시 불가하다는 것이었고 그 사유는 금정구에서 반여동 농산물도매시장으로 가려면 부분 도시고속도로를 경유해야만 하니 버스는 도시고속도로로 진입할 수 없다는 것(답변)이었다.
국민들의 식생활 및 식품안전과 관련한 제안자의 제안 건의에서의 답변을 그렇게 두부를 썰 듯이 답변하고 끝내야 하는 것이었을까.
금정구는 제안청인데도....
요즈음 태성여객의 마을버스(중형 버스)가 금정구 관내를 오가고 있다.
기점(출발점)과 종점이 금정구 남산동 소재의 외국어 대학이다.
제안자는 금정구에서 공영시장(반여동)으로 가는 노선의 차량은 공영시장 내(안)를 순회하도록 제안했었다. 그리해야만 손수레를 끌고 다닐 수 있고 공영 시장에 자주 다니면 무거운 손수레는 끌지 않아도 될 것이다.
다음의 김치는
국민들이 사계절 먹는 김치류인데 김치나마 부산시에서 먼저 생산해 주도록 노래를 불러왔으나 ‘ 소 귀에 경 읽기’ 였다.

---------- 다 음 --------------------
[ 김장 배추김치 - 이듬해 꽃 피기 전의 겨울추 짤박 김치- 사각 무, 알배추 김치 - 알타리 무 김치, 초롱 무 김치 - 사철 깍두기 및 애배추 김치 - 여수 돌산 갓김치 - 가을 무 김치 ]
------------------------------------

등록 : 2023. 11. 3(금)
금정구청 - 민원. 참여 - 새올전자민원
제안청 부산시청 - 부산민원120 - 시민참여, 시민게시판

**"	보건소 건강증진과
"1. 금정구 금샘로 17번길 43 벽산파라다이스빌라 정문 왼편 도로 균열 및 침하가 심하여 긴급 보수가 필요하며,
2. 전봇대, CC-TV폴대 설치시 도로 균열 및 침하로 인해 올해 장마시 침하, 균열된 부분으로 빗물이 쏟아져서 더욱 침하, 군열이 확대되어
인접하고 있는 행복이가득한집 옹벽과 난간대 부위가 침식되어 균열이 발생되고 있으며, 붕괴우려도 있음.

※ 첨부파일 :
20231102_115637.jpg"	안전도시국 교통행정과
"남산동 새벽시장 앞 주차문제 심각합니다 .
최소한 횡단보도는 지켜줘야 되지 않나 싶습니다 .
횡단보도라인에 주차하는것도 문제고
바로 옆에 주차하는것도 아이들이 횡단보도 건널때 차가 오는게 보이지 않아서
교통사고가 나도 이상하지않을정도입니다 .
큰 사고 나서 바뀌면 무슨 소용입니까 .
그차들을 1분간격으로 찍어서 과태료 물게하는건 임시방편입니다
횡단보도 라인옆에 주차를 못하도록 설치류가 있던 조치가 있길바랍니다
바뀌지않으면 계속 민원 넣을거에요 .
최소한 기본적인건 지켜졌으면 합니다 .

※ 첨부파일 :
20231102_083848.jpg
20231102_083851.jpg"	안전도시국 건설과
"금정구 금단로37, 한진아파트 옆에는 쓰레기장도 아닌 혐오시설이 오래도록 구청에서 임대를 주어 몇십년을 사용하여 오면서 10여년전에 아파트 회장들 회의를 하여 이때 옆에있는 경보아파트, 협성아파트, 한진아파트 회장들이 구청에 건의하여 혐오시설을 처리해달라고 민원을 제기하고 구청에서는 담당자가 임대기간이 곧 끝나는데 끝나는대로 운동시설등으로 활용하겠다고 약속한 사실이 있으나, 구청에사 이를 몇십년째 이행하지 않고 있어 일전에 민원을 제기 하였는데, 구청에서 답변이 임대기간이 만료되었으나 장소를 비우지않아 과태료 처분을 하고 이번 2023, 8월경에 도로환경 정비를 하겠다는 답변을 보내왔습니다, 그러나 약속한 기일을 경과하여 3개월이 지났지만 아직도 정비 계획이 없이 계속 혐오시설로 남아 이곳을 오가는 주민들에게 혐오감을 주고 있어 재차 민원을 제기하며 정보 공개청구를 합니다
1. 지금부터 10년전 언제 임대기간이 끝났는지
2. 10년전부터 어느정도의 임대료를 몇차례 언제 받았는지
3. 법이나 규정에 위 규모의 장소는 매월 임대료를 얼마를 부과하여 받아야 하는지
4. 불법으로 임대해온 위 장소에 대하여 구청에서 과태료를 언제 얼마를 부과했고 언제 얼마를 받았는지
5. 2023. 8월중에 철거를 실시하겠다 하였는데 왜 아직 철거를 못하고 있는지
6. 정상 임대료보다 불법 사용한 기간의 과태료를 얼마나 적게 부과했으며 얼마를 받았는지 여부를 정보 공개 청구 합니다

※ 첨부파일 :
2.png
1.png
3.png"	안전도시국 교통행정과
"안녕하세요

금정 이마트 (지하철 구서역) 앞 신호등 주변에 정당에서 천막을 설치한지가 이미 수 주가 지났습니다
그리고 정당마다 번갈아가며 이마트 앞 나무에 (택시 대기 장소 옆) 현수막을 걸어둡니다
지금도 설치되어 있는데요

이거 모두 합법적인건가요?
구청에서 철거하지 않나요?
벌금을 부과하지 않나요?"	안전도시국 건설과
"안녕하십니까, 언제나 고생이 많으십니다.

부산대학교 교차로(부산은행, 뚜레쥬르 있는 교차로)의 바닥신호등이 심하게 파손되어 있습니다.
파손된 부분은 T world쪽 도보이며, 파손으로 인해 해당 인도의 바닥신호등이 전부 제대로 작동하지 않고 있습니다.
해당 바닥신호등이 파손된 지 오래되었습니다. 따라서 조속한 수리를 요청하는 바입니다.

또한 부산대역 방면에서 올라와 해당 교차로에서 우회전하는 차량, 특히 시내버스가 자신의 내륜차를 고려하지 않고 우회전을 하여 해당 바닥신호등을 박살내는 것을 자주 목격하였습니다. 이는 공공기물을 파손하는 행위이며, 버스의 연석 침범으로 인도에서 신호 대기중인 보행자가 다칠 수 있습니다. 따라서 이를 방지할 방안이나 보행자를 보호할 대책을 마련해 주십시오.

감사합니다.

※ 첨부파일 :
KakaoTalk_20231031.jpg"	안전도시국 도시관리과
"금정구에서 이렇게 종교편향적인 행사를 진행하다니 정말 기가 막힙니다.
네 단체를 써놓았지만 알고 보면 두가지 종교이더구만요. 종교를 다 함께 할 수 없으면 하지 말아야죠.
이런식으로 구민들을 갈라치기 하면 안된다고 봅니다.
게다가 이슬람 무장 테러단체인 하마스의 공격으로 전쟁중인거 잊으셨나요?
뭐 그것도 그렇다 칩시다.

이렇게 참여한 종교 홍보해주는 꼴 밖에 되지않는 행사를 뭐하러 하시는지
이해 되지 않습니다.
불교 이슬람 홍보해주고 포교활동에 금정구가 참여하시는거로 밖엔 안보입니다.
금정구 문화부서가 이런일에 활용된다는게 믿기지 않네요.

※ 첨부파일 :
1698451135815.jpg"	안전도시국 건설과
"이전 제기한 민원신청에 대해서 관련기관에서 현재 아무조치를 취할 여력이없으니 어쩔수없다라는 내용의 답변을 하셨는데
첨부의 사진을 보고도 출퇴근. 등하교 시간대 교통대책에 대햐 여전히 대책을 강구할 필요성이 없으신지 문의합니다. 참 답답하네요
오늘 아침에도 어린이가 횡단보도에서조차 길을 못건너 차를 피해 뛰어다니더군요

※ 첨부파일 :
IMG_4685.png"	문화복지국 문화관광과
"온천장 지하철 4번 출구 에서 왼쪽 공영주차장 건너에 횡단보도가 있습니다.
이 횡단보도가... 핸드폰 매장 앞에 설치되어 있어
부곡동에서 지하철 타려고 가면.. 모서리 지점에 횡단보도가 있습니다.

핸드폰매장 횡단보도 가려면 지나가는 차가 쌩하게 달려서 옵니다.
횡단보도 에서 정지 안하고 바로 빠른속도로 지나갑니다.
전 부터 민원 넣을까 생각 중 이였습니다.

어제는 얼마나 빠른속도 차가 지나가는지 가슴이 서늘 했습니다.
지하철 4번 출구 에 횡단보도가 하나 있고. 핸드폰 매장에도 횡단보도가 있습니다.
중간쯤에 과속 방지턱을 설치 해주시면......... 속도가 느려 질것이라 생각 듭니다.
부탁 드려 봅니다.

※ 첨부파일 :
20231025_071812.jpg"	보건소 보건행정과
골목에 설치된 보안등이 몇일전부터 점등이 안되고 있어 안전사고 및 범죄의 위험성이 있습니다 보안점 수리 부탁합니다.	안전도시국 건설과
"1. 일시 : 매주마다 요일 정한 주기적
2. 장소 : 두실로 15번길 주거지전용주차장
3. 상황 : 길고양이 및 비둘기에게 주기적으로 먹이를 제공
4. 추정인물 : 불특정 평일 저녁 10시30분(고양이 사료제공) 또는 불특정(비둘기 모이제공)
5. 상황이해 및 결과
1) 길고양이, 비둘기 등 생명체로 인간과 살아가야 하는데 자유롭게 다니며 야생에 먹이사슬 등 지키게 하여야지 특정 장소 부분에 사람이 계
속 먹이를 주어서는 안되고 지속될 경우 경범죄 처벌도 고려해야 하지 않나 싶습니다. 주변 상황 cctv를 통해 모니터링 부탁드립니다.
6. 주거지 공용주차장에 미치는 영향
1) 주거지 추첨을 하고 주의사항에 행정복지센터에서 전달 내용은 배정받은 자리 주변 환경 부분 쓰레기 버리지 말라 이야기 합니다. 근데 되
려 외부인이 주거지 주차장 환경을 오염 시키고 있습니다.
2) 1번 자리 전깃줄로 인하여 새똥을 맞는다고 전달이 되는데 거기도 결국 비둘기 모이를 계속 그쪽에 지속적으로 주니까 비둘기들이 거기
전선 줄 위에서 대기를 하고 기다리다보니 배설물들이 발생하는 부분입니다.
3) 고양이 배설물(오줌,배설물) 주자장 인근 자리에 여기저기 군데 군데 있으며 냄새 등 사람이 밟기도 하며 환경적으로 힘듭니다.

※ 첨부파일 :
KakaoTalk_20231020_101902037_01.jpg
KakaoTalk_20231020_101902037.jpg"	안전도시국 안전관리과
"금정구 동부곡로 28부터 금정구 동부곡로 40-1까지입니다.

스마트폰이 아니라서 “안전신문고” 앱을 설치할 수가 없어 주정차위반을 신고를 할 수 없음을 미리 알려드립니다.

현재 반복되는 대형 참사 이후에도 소방차 통행을 방해하는 차량을 강제로 치울 수 있는 제도가 보완되었지만, 현장에서는 여전히 문제가 해결되지 않고 있습니다.
차량통행이 빈번하여 불법주차 방지를 위하여 구청에서 황색 불법주차 금지선을 설치하였으나 무시한 불법주차가 성행하고 있습니다.
도로가 협소해 평상시에도 도로가 확보된 상황을 유지하기 위해서라도 꼭 필요한 조치임을 알려드립니다.
소방통로의 중요성을 정기적으로 홍보해 화재로 인한 인명 및 재산피해 저감을 위해 최선을 다 할 것을 부탁드립니다.
화재나 지진으로 이 골목에 피해가 일어난다면 아무런 대처도 할 수 없는 그런 상황입니다.

1. 등하교시간 오전 8시~9시 오후 4시~5시 지속적인 불법주차단속
2. 소화전 2곳 옆에 긴급차 통행로이라는 노면표시
3. 황색 실선으로 불법주차 금지선을 설치한 지역 지속적인 불법주차단속
4. 지워진 황색 실선으로 불법주차 금지선 도색표시
5. 황색 실선으로 불법주차 금지선 추가 설치
6. 황색 실선으로 불법주차 금지선을 설치한 지역 지속적인 밤샘 불법주차단속

구청 공무원들께서 항상 고민하시고 수시로 점검하시는 것은 알고 있으나 인원 부족 및 수많은 민원으로 모든 곳을 다 살펴보지 못하시는 것으로 이해하고 있으며 이 때문에 이를 보완하고자 불편함을 가장 잘 알 수 있는 거주 주민의 민원을 수렴하는 제도가 있는 것이라 생각됩니다. 이상의 내용에 대하여 검토하신 후 현명하고 신속한 조치를 요청드립니다.
지켜보겠습니다. 감사합니다.

※ 첨부파일 :
20231019_104437[1].jpg
20231019_104347[1].jpg
20231019_104523[1].jpg"	구서2동
"민원사항
민원신청부지(1279-9,1280,1279-7,1269-6)에서 우천시에 지반에 물이 배수가 안되어 조경 및 농작물
재배에 막대한 피해를 주고 있습니다.

민원1. 민원신청부지 뒷편 배수로 정비 및 하부 끝지점 콘크리트배수로 연결 요청

민원2. 민원신청부지 전면도로측에서 우천시 우수 대량유입 방지조치(측구맨홀)을 설치하여 우수유입되지
않게 부탁드립니다
첨부파일에 도면 및 설명서 참조 바랍니다.

※ 첨부파일 :
2.두구동1279-7 민원서류.pdf
1.두구동 1279-7 민원서류.pdf"	구서2동
"업무로 노고가 많으십니다.

부산 오륜동 황토길을 이용중인 시민입니다.
다름이 아니라 황토길이 많은 사람들이 이용중임에도 불구하고 황토길이 관리가 되지 않는것같아 글을 작성합니다.
황토길이라면 수분을 어느정도 머금고 있는 구간도 있어야하는데 사진에 첨부한것과 같이 시작부터 끝부분까지 수분도 없고 길의 대부분이 갈라지고 딱딱해서 돌과 나뭇가지들이 많아 걸을때 많은 불편을 겪고 있습니다.

다른 민원글을 보아하니 금년 9~11월에 황토보충과 관리 예정이라고 하였는데 금년을 기준이 아니라 정확한 기간이 작성되면 좋겠습니다.

또한 다른지역의 경우 확인을 해보니 일주일을 기준으로 두어서 한두번씩 수분이 부족해진 단단한 황토를 갈아엎어서 물뿌리는 작업을 실행하는데 현재 오륜동 황토길의 경우 보충만 하는것인지 황토를 갈아엎는작업을 하는건지도 정확히 알려주셨으면 좋겠습니다.

만약 금년에 말씀하시는 황토보충이 보충만 되는 경우라면 매주 안되면 매달이라도 갈아엎는작업도 함께 시행해 주셨으면 좋겠습니다.

※ 첨부파일 :
황토길2.jpg
황토길 1.jpg"	안전도시국 건설과
"장전서희스타힐스 아파트에서 금정구청후문(부곡교)
온천천로변가로등이 오전5시45분에 끄집니다.
6시 10분전도까지 밝게해주세요.
참고노 사진은 10월 12일 오전6시 1분 촬영화면입니다

※ 첨부파일 :
1697084893559.jpg
20231012_060216_HDR.jpg"	경제환경국 공원녹지과
"지난 9월 태풍시 도로 일부 함몰로 불편하오니 조치 협조하여 주시기 바랍니다.

위치 및 현장사진 : 첨부물 참조

※ 첨부파일 :
현장사진(두구동).hwp"	안전도시국 도시관리과
"업무로 수고 많으십니다.

저는 금정구에 주거 하고 있는 시민이며, 직장도 금정구라 매일 아침 자차로 출퇴근 하고 있습니다.

아침마다 출근시간 맞추느라 나름 고생인데, 출근하다 보면 주에 꼭 1~2번은 막히는 구간이 발생합니다.

여기가 막힐 이유가 없는데? 하고 계속 가다보면 역시나 중간 벤츠 매장에 차 내린다고 끝차선에 트럭 대놓고 상하차 하고 있습니다.

'중앙대로 1912'에 위치한 벤츠자동차 전시장입니다.

그분들도 업이기에 도로 끝에 대고 상하차 하는거 당연히 이해합니다.

하지만 왜 다들 출근하기 바쁜 출근시간대에 끝차선을 막고 상하차 하는지 도저히 이해를 할 수 없습니다.

물론 본인들은 그 시간에 상하차를 해야 편할지 모르겠습니다만 본인들 편의를 위해 출근시간대 출근하는 사람들에게 편의를 봐달라는건

더 이상 넘어갈수가 없어서 민원을 제기하게 되었습니다.

상하차 좋습니다. 하지만 모든 사람들이 출근하는 시간대는 피해 주었으면 합니다.

본인들도 업이지만 출근하는 사람도 업을 가진 사람이고 업을 하러 가는 사람들입니다.

매장에 의견 전달해서 시정 조치 꼭 부탁드리겠습니다."	안전도시국 안전관리과
"금정구 청장님을 비롯한 금정구 공무원 여러분들의 노고에 머리 숙여 감사를 드립니다.
저는 ‘가마실 행복마을’(치안올레길) 근처에 사는 자랑스러운 금정구 구민입니다.
동부곡로 31(우정빌라) 뒤편에 발생한 도로(땅) 꺼짐을 해결해 주시기 바랍니다.
통행불편 뿐만 아니라 안전사고 대한 우려가 제기될 것 같습니다.
별도의 현장 확인을 거쳐 재포장을 추진해 주시면 고맙겠습니다.
오늘도 좋은 하루 보내시기 바랍니다.

※ 첨부파일 :
20231010_082234[1].jpg
20231010_082203[1].jpg"	안전도시국 안전관리과
"구서2동 일신아파트위쪽 금정산숲입니다
저번에 담당하신분에게 말씀드렸지만 요번에 다시 가보니
숲이 우거진 산속에 관목과 풀을 제거하고 여러명이 모여서
기체조 비슷한 운동을 하고있습니다 담당자분은 운동목적이라 어쩔수없다고
말했지만 어디서 돌을 구해다가 축대를 쌓고 깊은 산속에 개인적인 목적으로
녹지를 훼손하고 있습니다 이분들이 어떤 절실함이 있는지 모르겠지만 맨바닥에서
할수 있는 운동을 굳이 산림을 훼손하면서 해야하는지 의문입니다 운동이면 이렇게 해도 되는지 알수도없고요
그분들에게 지금 뭘하시냐고 물으니 둘레길조성한다고 하네요 둘레길이 끊어진 산속에서요
정말이면 저의 잘못이고 거짓말이면 뭔가를 사칭 하고 있는거 아닌가요?
구청에서 나왔냐고 물어도 답이 없네요
저의 무지인지 답변 부탁드립니다

※ 첨부파일 :
KakaoTalk_20231009_202437972_01.jpg
KakaoTalk_20231009_202437972.jpg
KakaoTalk_20231009_202437972_03.jpg"	안전도시국 건설과
